,Date,Open,High,Low,Close,Volume,MarketCap,UnitVolume,Rolling20D
51,20190326,3969.23,3985.08,3944.75,3985.08,10707678815,70184147203,2686.941997,2475.888633
50,20190327,3984.24,4087.07,3977.81,4087.07,10897131934,71987847571,2666.245485,2486.687619
49,20190328,4087.58,4094.9,4040.27,4069.11,9353915899,71678998915,2298.762112,2465.272425
48,20190329,4068.3,4113.5,4034.1,4098.37,10918665557,72202088875,2664.148322,2462.279247
47,20190330,4092.14,4296.81,4053.91,4106.66,9732688060,72355190645,2369.976589,2457.875106
46,20190331,4105.46,4113.02,4094.1,4105.4,9045122443,72339379036,2203.225616,2438.390989
45,20190401,4105.36,4164.95,4096.9,4158.18,10157794171,73269368747,2442.84619,2435.060216
44,20190402,4156.92,4905.95,4155.32,4879.88,21315047816,85986009273,4367.945076,2532.266486
43,20190403,4879.96,5307,4876.62,4973.02,22899891582,87655288145,4604.825957,2628.973107
42,20190404,4971.31,5063.16,4836.79,4922.8,18251810240,86778727821,3707.607508,2695.766963
41,20190405,4922.81,5053.51,4919.49,5036.68,16837325387,88796118650,3342.94126,2741.194784
40,20190406,5036.79,5205.82,4992.22,5059.82,16929795194,89212733450,3345.928352,2806.365045
39,20190407,5062.79,5235.19,5050.41,5198.9,16655416140,91674230186,3203.642336,2846.932403
38,20190408,5199.84,5318.84,5148.21,5289.77,17154113634,93286365973,3242.884593,2894.307733
37,20190409,5289.92,5289.92,5167.42,5204.96,14722104361,91799330425,2828.475985,2911.254881
36,20190410,5204.11,5421.65,5193.38,5324.55,15504590933,93918439274,2911.906346,2922.445562
35,20190411,5325.08,5354.23,5017.3,5064.49,16555616019,89341168457,3268.960156,2970.920845
34,20190412,5061.2,5103.27,4955.85,5089.54,13675206312,89792633045,2686.92383,2986.594414
33,20190413,5088.85,5127.12,5061.59,5096.59,10823289598,89925574875,2123.633566,2979.095529
32,20190414,5095.76,5184.02,5053.57,5167.72,10391952498,91188595341,2010.935673,2948.937847
31,20190415,5167.32,5196.61,5024.07,5067.11,12290155061,89422237603,2425.47627,2935.864561
30,20190416,5066.58,5238.95,5055.19,5235.56,11618660197,92404613297,2219.18194,2913.511384
29,20190417,5236.14,5274.28,5219.21,5251.94,12438480677,92702617458,2368.35925,2916.991241
28,20190418,5251.48,5319.99,5250.51,5298.39,13256489918,93532402741,2501.98455,2908.883052
27,20190419,5298.15,5336.68,5233.34,5303.81,13780238655,93638345002,2598.177283,2920.293087
26,20190420,5304.16,5358.49,5295.88,5337.89,13169647522,94248717444,2467.200996,2933.491856
25,20190421,5335.88,5359.93,5257.34,5314.53,13731844223,93847052256,2583.830409,2940.541067
24,20190422,5312.49,5422.69,5280.28,5399.37,14601631648,95354207776,2704.321365,2857.359881
23,20190423,5399.37,5633.8,5389.41,5572.36,15867308108,98417387004,2847.502334,2769.4937
22,20190424,5571.51,5642.04,5418.26,5464.87,17048033399,96530038144,3119.567968,2740.091723
21,20190425,5466.52,5542.24,5181.34,5210.52,15330283408,92046492864,2942.17917,2720.053618
20,20190426,5210.3,5383.63,5177.37,5279.35,16812108040,93272287960,3184.503403,2711.982371
19,20190427,5279.47,5310.75,5233.64,5268.29,13111274675,93086156556,2488.715442,2676.236026
18,20190428,5271.75,5326.23,5255.68,5285.14,12819992056,93391244395,2425.667448,2635.375169
17,20190429,5284.86,5311.27,5216.49,5247.35,13735490672,92737510865,2617.605205,2624.83163
16,20190430,5247.73,5363.26,5224.19,5350.73,13878964574,94573826827,2593.845059,2608.928566
15,20190501,5350.91,5418,5347.65,5402.7,13679528236,95501110091,2531.97998,2572.079557
14,20190502,5402.42,5522.26,5394.22,5505.28,14644460907,97330112147,2660.075583,2570.737145
13,20190503,5505.55,5865.88,5490.2,5768.29,18720780006,1.01986E+11,3245.464428,2626.828688
12,20190504,5769.2,5886.89,5645.47,5831.17,17567780766,1.03112E+11,3012.736855,2676.918747
11,20190505,5831.07,5833.86,5708.04,5795.71,14808830723,1.02494E+11,2555.136596,2683.401763
10,20190506,5791.69,5802.96,5653.69,5746.81,15737171804,1.0164E+11,2738.418671,2709.3636
9,20190507,5745.6,5988.18,5741.4,5829.5,18026409033,1.03112E+11,3092.273614,2745.559318
8,20190508,5849.48,5989.98,5794.72,5982.46,15320605300,1.05829E+11,2560.920641,2748.506122
7,20190509,5982.32,6183.04,5982.32,6174.53,16784645411,1.09239E+11,2718.368104,2754.515664
6,20190510,6175.82,6434.62,6161.52,6378.85,19419875368,1.12863E+11,3044.416371,2783.376432
5,20190511,6379.67,7333,6375.7,7204.77,28867562329,1.27488E+11,4006.729199,2854.521372
4,20190512,7203.51,7503.87,6815.77,6972.37,27773333680,1.2339E+11,3983.341917,2918.472399
3,20190513,6971.18,8047.41,6898.28,7814.92,28677672181,1.38317E+11,3669.605342,2959.57755
2,20190514,7807.88,8268.71,7696.39,7994.42,32031452227,1.41509E+11,4006.72622,3003.935462
1,20190515,7989.37,8216.42,7899.11,8205.17,28344112920,1.45254E+11,3454.421166,3029.547562
